title,price_raw,area_raw,address,district,latitude,longitude,description,posted_date,source_url,source_name,crawled_at,phone,image,full_description,floor,location_confidence,price_million,area_m2,ward,room_type,has_dieu_hoa,has_khep_kin,has_ban_cong,has_thang_may,has_full_do,has_gac,has_may_giat,has_nong_lanh,has_wifi,has_de_xe,number_of_amenities,posted_month,has_coordinates,listing_age_days,recency_weight,sample_weight,listing_group,distance_to_center_km,unit_price
"Căn hộ Hoàng Mai, Đền Lừ, 24m2, MÁY GIẶT RIÊNG -BAN CÔNG, Thang máy",4800000,24,"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.98638153,105.86028290000002,"Mình còn Căn hộ Căn hộ Hoàng Mai, Đền Lừ, 24m2, MÁY GIẶT RIÊNG -BAN CÔNG, Thang máy<br />&#10024;MÁY GIẶT RIÊNG, Ban công, cửa sổ to thoáng, phòng ngập tràn ánh sáng<br />&#10024;Khu vực trung tâm Hoàng Mai, Đền Lừ, Tam Trinh...gần các trường đại học lớn, chợ lớn, làng sinh viên, bệnh viện, khu đông dân cư<br />&#10024;Không chung chủ, hệ thống an ninh cửa từ khóa vân tay, camera thông minh, full hệ thống pccc an toàn, vệ sinh định kỳ<br />&#10024;24m2 sử dụng phòng rộng, có cửa sổ to thoáng<br />&#10024;Nội thất: máy giặt riêng, điều hòa, nóng lạnh, tủ quần áo, tủ bếp trên dưới, giường, bàn ghế, ga đệm, hút mùi&#8230;<br />LIÊN HỆ XEM PHÒNG: Inbox mình hoặc call số 0888612468",19/05/2026,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/can-ho-hoang-mai-den-lu-24m2-may-giat-rieng-ban-cong-thang-may-id22491130,mogi.vn,2026-07-05T15:42:41.684431+00:00,,,,,high,4.8,24.0,Hoàng Văn Thụ,can_ho,1,0,1,1,0,0,1,1,0,0,5,5.0,1,47,0.9146127123904295,0.9146,geo:20.9864:105.8603,4.776,0.19999999999999998
"Căn hộ Tam Trinh, Hoàng Mai, 30m2, MÁY GIẶT RIÊNG -BAN CÔNG, Thang máy",5400000,30,"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.98638153,105.86028290000002,"Mình còn Căn hộ Tam Trinh, Hoàng Mai, 30m2, MÁY GIẶT RIÊNG -BAN CÔNG, Thang máy<br />&#10024;MÁY GIẶT RIÊNG, Ban công, cửa sổ to thoáng, phòng ngập tràn ánh sáng<br />&#10024;Khu vực trung tâm Hoàng Mai, Đền Lừ, Tam Trinh...gần các trường đại học lớn, chợ lớn, làng sinh viên, bệnh viện, khu đông dân cư<br />&#10024;Không chung chủ, hệ thống an ninh cửa từ khóa vân tay, camera thông minh, full hệ thống pccc an toàn, vệ sinh định kỳ<br />&#10024;30m2 sử dụng phòng rộng, có cửa sổ to thoáng<br />&#10024;Nội thất: máy giặt riêng, điều hòa, nóng lạnh, tủ quần áo, tủ bếp trên dưới, giường, bàn ghế, ga đệm, hút mùi&#8230;<br />LIÊN HỆ XEM PHÒNG: Inbox mình hoặc call số 0888612468",17/05/2026,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/can-ho-tam-trinh-hoang-mai-30m2-may-giat-rieng-ban-cong-thang-may-id22491135,mogi.vn,2026-07-05T15:42:58.073760+00:00,,,,,high,5.4,30.0,Hoàng Văn Thụ,can_ho,1,0,1,1,0,0,1,1,0,0,5,5.0,1,49,0.9111455407076108,0.9111,geo:20.9864:105.8603,4.776,0.18000000000000002
Chính chủ cho thuê CCMN 282Kim Giang NỘI THẤT CAO CẤP-THANG MÁY-VSKK,5100000,30,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.975346097312947,105.81841659593749,"Chính chủ cho thuê CCMN 282Kim Giang *FULL ĐỒ CAO CẤP - THANG MÁY*<br />&#10024;Ngõ 282 Kim Giang to rộng 3 ô tô tránh nhau thông Nguyễn Xiển, Kim Giang, Nghiêm Xuân Yêm, cách Đại học Thăng Long 500m<br />&#10024;Ô tô đỗ cửa quay đầu, gần bãi gửi xe<br />&#10024;Không chung chủ, hệ thống an ninh cửa từ khóa vân tay, camera thông minh, full hệ thống pccc an toàn, vệ sinh định kỳ<br />&#10024;30m2 sử dụng phòng rộng, ban công, có cửa sổ to thoáng<br />&#10024;Nội thất: máy giặt riêng, tủ lạnh, hút mùi, bếp từ đôi, điều hòa, nóng lạnh, giường, tủ quần áo, tủ bếp trên dưới, tủ giày, bộ sofa, bàn trà, sen cây, cửa từ vân tay&#8230;toàn bộ nội thất cao cấp sịn sò<br />LIÊN HỆ XEM PHÒNG: Inbox mình hoặc call số 0888612468",15/05/2026,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/chinh-chu-cho-thue-ccmn-282kim-giang-noi-that-cao-cap-thang-may-vskk-id22013237,mogi.vn,2026-07-05T15:43:27.321952+00:00,,,,,high,5.1,30.0,Đại Kim,can_ho_mini,1,0,1,1,1,0,1,1,0,1,7,5.0,1,51,0.9076915125983672,0.9077,geo:20.9753:105.8184,6.902,0.16999999999999998
"CCMN Cao cấp Hồ Đền Lừ, Hai Bà Trưng, Bách Kinh Xây",5900000,30,"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.98638153,105.86028290000002,"&#127970; CCMN cao cấp - Hồ Đền Lừ  -Minh Khai cách BKX 1,5km. Timecity 700m<br />Phòng 30m2 lô góc ban công, 3 cửa thoáng<br /><br />&#128279; Trang bị:<br />&#128073; Cung cấp nước lọc miễn phí<br />&#128073;Tủ lạnh, điều hoà, nóng lạnh, tủ bếp, bếp từ có xoong, bàn ăn, tủ và giường thông minh tất cả đều mới<br />&#128073;Máy giặt, máy sấy không cần phơi đồ<br />&#128073; PCCC tự động: Báo cháy, báo khói.<br />&#128073; Trang bị mặt nạ phòng độc, cháy.<br />&#128073; Thang máy Nhật cao cấp",26/07/2025,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/ccmn-cao-cap-ho-den-lu-hai-ba-trung-bach-kinh-xay-id22699628,mogi.vn,2026-07-05T15:45:07.478429+00:00,,,,,high,5.9,30.0,Hoàng Văn Thụ,can_ho_mini,1,0,1,1,0,0,1,1,0,0,5,7.0,1,344,0.5203427865095827,0.5203,geo:20.9864:105.8603,4.776,0.19666666666666668
Hot! Phòng trọ giá rẻ đủ đồ gần bến xe giáp bát,4500000,25,"Phường Định Công, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.983563420000003,105.82888793999996,"+Cho Thuê Chung Cư Mini  Mới Xây, Khép Kín,Tự Do Thời Gian<br />+ Địa Chỉ: Ngõ 330 Phố Định Công-Quận Thanh Xuân.<br />-- Ngõ Rộng , Thông Thoáng,Ô Tô Đỗ Trước Cửa Nhà Miễn Phí.<br />-- Gần Ngay Các Khu Đô Thị Định Công, Vành Đai 2.5..<br />-- Gần Các Trường Đại Học Lớn Như Bách Khoa, Xây Dựng,KTQD....<br />-- Giáp Các Phố Giải Phóng,Kim Đồng,Lê Trọng Tấn...<br />-- Nhà Mới Tinh Có Cửa Sổ , Ban Công Rộng Với Nhiều Ánh Sáng Tự Nhiên , View Thoáng Đãng<br />--  Phòng Rộng Rãi 30m2 Có Gác Xếp Để Ở Được Nhiều Người.<br />-- Nội Thất Mới Tinh Và Đầy Đủ:<br />-Điều Hòa, Nóng Lạnh, Tủ Lạnh,Tủ Quần Áo,Giường,Sofa Bếp ,Tủ Bếp,Bồn Rửa, Máy Giặt, Máy Sấy...<br />+ Có Cổng Vân Tay,  Thang Máy, Camera An Ninh 24/7, Chỗ Gửi Xe Rộng Rãi  Ở Tầng 1 Và Hoàn Toàn Miễn Phí.<br />-- Hệ Thống Phòng Cháy Chữa Cháy Được Kiểm Duyệt Đầy Đủ Theo Quy Định Của Nhà Nước,Nhà Gần Công An Phường Nên An Ninh Rất Đảm Bảo.<br />+ Thanh Toán 1 Tháng 1.<br />+ Giá Chỉ  4tr5/Tháng<br />+ CAM KẾT HÌNH ẢNH VÀ THÔNG TIN CHUẨN XÁC.<br />- Số Lượng Phòng Có Hạn.<br />--Xin Hãy Gọi Luôn 24/24 ( Có Thể Kết Bạn Zalo) Để Được Hỗ Trợ  Và Xem Phòng Miễn Phí.<br />-- Có Thương Lượng Cho Khách Hàng Nhiệt Tình.<br />-- Nhận Khách Nước Ngoài.<br />--( Môi Giới Miễn Làm Phiền).",04/05/2025,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/hot-phong-tro-gia-re-du-do-gan-ben-xe-giap-bat-id22469307,mogi.vn,2026-07-05T15:45:46.608606+00:00,,,,,high,4.5,25.0,Định Công,can_ho_mini,1,1,1,1,0,1,1,1,0,1,8,5.0,1,427,0.44446354113459624,0.4445,geo:20.9836:105.8289,5.581,0.18
Cho thuê phòng trọ khu vực Bách-Kinh-Xây,5000000,25,"Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.988904991836254,105.84726119498465,"&#9193;&#65039;&#65039;Loại phòng: studio - 25m2<br />&#9193;&#65039;Tầng 4 &amp; 5. Thang máy<br />&#9989;Nội thất: Giường tủ, điều hoà nóng lạnh, đệm,bộ bàn ghế, tủ lạnh , hút mùi, máy giặt chung<br />&#128181;Phí dịch vụ:<br />Điện 3,8K/số ,nước 100K/ng,dvu 120K/ng,wifi 50K /ng.<br />&#9888;&#65039;Lưu ý<br />* Ko chung chủ, tự do giờ giấc, cổng vân tay<br />* Đóng 1 cọc 1. HĐ 12T<br />*  oto tránh thông 20m thông sang  đường nguyễn đức cảnh<br />*ko nuôi thú cưng, có giới hạn 3xe/p<br />&#128222;Liên hệ: 0982028501",30/12/2024,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/cho-thue-phong-tro-khu-vuc-bach-kinh-xay-id22657630,mogi.vn,2026-07-05T15:46:59.156206+00:00,,,,,high,5.0,25.0,Tương Mai,can_ho_mini,1,0,0,1,0,0,1,1,1,0,5,12.0,1,552,0.3505449199776684,0.3505,geo:20.9889:105.8473,4.457,0.2
Căn 1 ngủ 1 khách - 60m2 - full đồ,4500000,60,"Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.980790903461305,105.88887071509883,"&#128073;Chính Chủ Cho Thuê Tầng 03 <br />&#128073;Địa chỉ: ngõ 193, phố Nam Dư<br />----------<br /><br />*Khép kín hoàn toàn với diện tích sử dụng 60m2<br />*Đầy đủ đồ, gồm điều hoà, tủ lạnh, bàn ghế, máy giặt, giường, tủ quần áo.<br />*View rộng thoáng.<br />*Giá thuê 4500k<br />*Điện 4k/số, nước 80k/người, internet 100k/tháng<br /><br />&#128073;Giờ giấc đi lại thoải mái, có camera an ninh 24/24, khóa vân tay ...<br />&#128073;Ngõ rộng ô tô đi vô tư.<br /><br />*Liên hệ: 0386939997",27/09/2024,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/can-1-ngu-1-khach-60m2-full-do-id22629005,mogi.vn,2026-07-05T15:47:35.741872+00:00,,,,,high,4.5,60.0,Lĩnh Nam,phong_tro,1,1,0,0,1,0,1,0,1,0,5,9.0,1,646,0.2932365792886167,0.2932,geo:20.9808:105.8889,6.535,0.075
"cho thuê phòng trọ tại ngõ 103 đường Giáp Bát ,quận Hoàng Mai.",2300000,15,"Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.984284404999997,105.84331894000002,"Phòng riêng khép kín tiện nghi đầy đủ : NL,ĐH,VS,BẾP, Chỗ để xe. Gần chợ siêu thị nhà trẻ , trường học bến tàu xe ,các trường ĐH. diện tích 15/42m2.",29/06/2024,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/cho-thue-phong-tro-tai-ngo-103-duong-giap-bat-quan-hoang-mai-id22590958,mogi.vn,2026-07-05T15:48:33.302662+00:00,,,,,high,2.3,15.0,Giáp Bát,phong_tro,1,1,0,0,0,0,0,0,0,1,3,6.0,1,736,0.2471676169561055,0.2472,geo:20.9843:105.8433,5.028,0.15333333333333332
"809 Giải Phóng, Tân Mai ,  Homestay ghép full đồ từ 1tr5",1500000,25,"Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.984284404999997,105.84331894000002,"&#128073; Đến ngay PandaHomestay cơ sở 4 vừa được khai trương <br /> &#127968;Địa chỉ: 29 Kim Đồng, Tân Mai - 809 Giải Phóng, Giáp Bát, Hoàng Mai.<br />&#9752;&#65039; Chỉ từ 1tr500 đầy đủ:<br />&#9989; Giường tầng, chăn, đệm, ga, gối, tủ quần áo<br />&#9989; Điều hoà, nóng lạnh, máy giặt<br />&#9989; Internet, khu bếp rộng, đầy đủ đồ nấu ăn<br />&#9989;  để xe rộng rãi, an toàn<br />&#9989; Giờ giấc tự do<br />&#9989; Dọn vệ sinh 1 lần/tuần<br />&#9989; Giá đã gồm điện, nước, wifi và tiện ích khác<br />&#127754; Phù hợp với:<br />- Sinh viên cần không gian sạch sẽ, tiện nghi, giá cả hợp lý<br />- Người đi làm lối sống đơn giản, hiện đại<br />---------------<br />&#9742;&#65039;Chính chủ đt, za.lo 0865.825.916.",23/04/2024,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/809-giai-phong-tan-mai-homestay-ghep-full-do-tu-1tr5-id22482851,mogi.vn,2026-07-05T15:48:59.146501+00:00,,,,,high,1.5,25.0,Giáp Bát,phong_tro,1,0,0,0,1,0,1,1,1,1,6,4.0,1,803,0.21763764082403103,0.2176,geo:20.9843:105.8433,5.028,0.06
"💥Chính chủ cho thuê Phòng trọ20m2 Định Công-Hoàng Mai.Giá từ2,9 tr 💕",2900000,20,"Phường Định Công, Quận Hoàng Mai, Hà Nội",Hoàng Mai,20.982040777484727,105.83317947442377,"Chính chủ cho thuê Phòng trọ Full nội thất, 2 mặt cửa sổ,ban công thoáng sáng Định Công-Hoàng Mai. <br />&#127969;Địa chỉ : Ngõ 245 Định Công-Hoàng Mai<br />-Đầy đủ tiện ích, Sát chợ, trường mầm non, gần trường ĐH y, mở, bách kinh xây...<br />&#128180;Giá 2,9-3,2 tr <br />&#9729;&#65039;Trống tầng 2, t4 ,ở luôn <br />&#128312;Phòng hai mặt ban công, cửa sổ thoáng sáng.<br />&#128313; Diện tích 25m2<br />&#127965;&#65039;Nội thất : Điều Hoà - Giường Tủ - Bàn ghế-Nóng Lạnh<br />&#127958;&#65039;Dịch vụ : <br />- Nước sinh hoạt 100k/1 người<br />- Mạng 100k/1 phòng<br />- Vệ sinh,rác 50k/1 người<br />- Máy giặt 50k/1 người.<br />- Điện 4k/1 số ( điện riêng từng phòng và điện chung chia theo đầu người)<br />&#9729;&#65039; LH: 0989884733-0582788986",29/12/2023,https://mogi.vn/quan-hoang-mai/thue-phong-tro-khu-nha-tro/chinh-chu-cho-thue-phong-tro20m2-dinh-cong-hoang-mai-gia-tu2-9-tr-id22453923,mogi.vn,2026-07-05T15:51:42.014936+00:00,,,,,high,2.9,20.0,Định Công,phong_tro,1,0,1,0,1,0,1,1,1,0,6,12.0,1,919,0.17460802606853262,0.1746,geo:20.9820:105.8332,5.559,0.145
